sample,experiment,A,A_err,T1_s,T1_err_s,C,C_err,r_squared,T2_s,T2_err_s
heavy_oil,T1,14.213333573477437,0.20334884320922328,0.03177262653125845,0.0001260481637130916,0.19772887896092836,0.05672452515294773,0.9965672337767029,,
heavy_oil,T2,15.043191438781763,0.12312353460811022,,,0.6158155445318477,0.10773954417104649,0.9992249534894903,0.02021691635205814,0.0005169960292886758
light_oil,T1,18.482157409636876,0.2498214217616351,0.528161377330164,0.001293885805036452,-0.05871622315012339,0.06188749532942133,0.9965506777184475,,
light_oil,T2,19.833478643016033,0.09465065119068192,,,0.31875616653296435,0.07038673920763218,0.9998314366919384,0.03928313886650366,0.0005461879216408938
