sample,f_rec_Hz,omega0_rad_s,T1_s,T1_err_s,T2_s,T2_err_s,tau_c_s,Delta2_T2,Delta_T,Delta_G,sigma_T_s_minus_3_half
light_oil,21127300.0,132746740.94037527,0.528161377330164,0.0012938858050364,0.0392831388665036,0.0005461879216408,3.7582735898355916e-08,4.556895737959514e-09,6.750478307467934e-05,0.6750478307467934,0.4924422962866879
heavy_oil,21023300.0,132093289.6684286,0.0317726265312584,0.000126048163713,0.0202169163520581,0.0005169960292886,8.09422188125303e-09,2.9115303143831674e-08,0.00017063206950579857,1.7063206950579857,2.682181133499775
