tau_s,voltage_V
0.170,8.60
0.190,7.28
0.210,6.40
0.230,5.44
0.250,4.48
0.270,3.52
0.290,2.68
0.310,1.92
0.330,1.12
0.350,0.48
0.380,0.60
0.400,1.28
0.420,1.84
0.440,2.40
0.460,3.00
0.480,3.56
0.500,4.08
0.520,4.56
0.540,5.00
0.560,5.48
0.580,5.92
0.600,6.40
