tau_s,voltage_V
0.0020,13.00
0.0040,10.80
0.0060,8.80
0.0080,7.40
0.0100,6.20
0.0120,5.00
0.0140,4.60
0.0160,3.76
0.0180,3.20
0.0200,2.80
0.0220,2.32
0.0240,2.00
0.0260,1.68
0.0280,1.58
0.0300,1.32
