tau_s,voltage_V
0.0100,12.20
0.0125,10.80
0.0150,9.60
0.0175,8.48
0.0200,7.52
0.0225,6.64
0.0250,5.92
0.0275,5.20
0.0300,4.56
0.0325,4.08
0.0350,3.60
0.0375,3.28
0.0400,2.86
0.0425,2.56
0.0450,2.40
0.0475,2.08
0.0500,1.92
